Date,Open,High,Low,Close,Adj Close,Volume
1998-06-11,539.799988,541.260010,531.609985,531.830017,531.830017,627470000
1998-06-12,531.830017,534.590027,525.119995,534.590027,534.590027,633300000
1998-06-15,534.590027,534.590027,522.859985,522.869995,522.869995,595820000
1998-06-16,522.869995,528.390015,521.140015,528.390015,528.390015,664600000
1998-06-17,528.390015,541.330017,528.390015,537.469971,537.469971,744400000
1998-06-18,537.469971,538.500000,535.330017,537.020020,537.020020,590440000
1998-06-19,537.020020,540.309998,533.010010,535.479980,535.479980,715500000
1998-06-22,535.479980,539.390015,534.419983,536.090027,536.090027,531550000
1998-06-23,536.059998,545.760010,536.059998,545.630005,545.630005,657100000
1998-06-24,545.630005,554.000000,542.729980,553.150024,553.150024,714900000
1998-06-25,553.150024,558.369995,549.349976,550.640015,550.640015,669900000
1998-06-26,550.640015,555.020020,550.640015,553.090027,553.090027,520050000
1998-06-29,553.090027,560.409973,553.090027,557.590027,557.590027,564350000
1998-06-30,557.590027,558.380005,553.619995,554.559998,554.559998,757200000
1998-07-01,554.559998,560.599976,554.559998,560.599976,560.599976,701600000
1998-07-02,560.599976,560.599976,557.820007,559.380005,559.380005,510210000
1998-07-06,559.380005,563.840027,557.929993,563.820007,563.820007,514750000
1998-07-07,563.820007,566.099976,562.380005,563.289978,563.289978,624890000
1998-07-08,563.289978,570.239990,563.289978,569.719971,569.719971,607230000
1998-07-09,569.719971,570.690002,564.479980,565.849976,565.849976,663600000
1998-07-10,565.849976,569.799988,561.950012,568.299988,568.299988,576080000
1998-07-13,568.299988,571.190002,566.890015,569.969971,569.969971,574880000
1998-07-14,569.969971,577.650024,569.969971,576.239990,576.239990,700300000
1998-07-15,576.239990,578.609985,575.140015,575.690002,575.690002,723900000
1998-07-16,575.690002,579.630005,572.809998,579.330017,579.330017,677800000
1998-07-17,579.330017,581.969971,578.270020,581.340027,581.340027,618030000
1998-07-20,581.340027,582.270020,575.820007,578.450012,578.450012,560580000
1998-07-21,578.450012,580.179993,568.140015,568.859985,568.859985,659700000
1998-07-22,568.859985,570.190002,563.539978,567.760010,567.760010,739800000
1998-07-23,567.760010,568.440002,556.099976,556.099976,556.099976,741600000
1998-07-24,556.099976,561.599976,552.679993,558.219971,558.219971,698600000
1998-07-27,558.219971,563.719971,552.909973,563.719971,563.719971,619990000
1998-07-28,563.719971,563.719971,549.659973,555.609985,555.609985,703600000
1998-07-29,555.609985,559.390015,550.630005,552.750000,552.750000,644350000
1998-07-30,552.750000,562.400024,552.750000,562.239990,562.239990,687400000
1998-07-31,562.239990,562.239990,547.630005,550.929993,550.929993,645910000
1998-08-03,550.929993,551.960022,545.340027,545.799988,545.799988,620400000
1998-08-04,545.799988,549.739990,525.260010,525.640015,525.640015,852600000
1998-08-05,525.640015,533.479980,518.679993,531.630005,531.630005,851600000
